Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
635,Ian Snell\snellia01,25,PIT,NL,9,12,.429,3.76,32,32,0,1,0,0,208.0,209,94,87,22,68,4,177,8,0,12,882,116,4.01,1.332,9.0,1.0,2.9,7.7,2.60
636,Kyle Snyder\snydeky01,29,BOS,AL,2,3,.400,3.81,46,0,17,0,0,0,54.1,45,29,23,7,32,2,41,6,0,4,242,125,5.50,1.417,7.5,1.2,5.3,6.8,1.28
637,Andy Sonnanstine\sonnaan01,24,TBD,AL,6,10,.375,5.85,22,22,0,0,0,0,130.2,151,87,85,18,26,2,97,5,0,2,554,77,4.26,1.355,10.4,1.2,1.8,6.7,3.73
638,Joakim Soria\soriajo01,23,KCR,AL,2,3,.400,2.48,62,0,38,0,0,17,69.0,46,20,19,3,19,3,75,1,0,2,270,185,2.50,0.942,6.0,0.4,2.5,9.8,3.95
639,Rafael Soriano\soriara01,27,ATL,NL,3,3,.500,3.00,71,0,28,0,0,9,72.0,47,26,24,12,15,2,70,2,0,0,276,146,4.17,0.861,5.9,1.5,1.9,8.8,4.67
640,Jorge Sosa\sosajo02,29,NYM,NL,9,8,.529,4.47,42,14,2,0,0,0,112.2,109,58,56,10,41,2,69,0,0,0,481,97,4.26,1.331,8.7,0.8,3.3,5.5,1.68
641,Jeremy Sowers*\sowerje01,24,CLE,AL,1,6,.143,6.42,13,13,0,0,0,0,67.1,84,49,48,10,21,2,24,4,0,3,303,71,5.57,1.559,11.2,1.3,2.8,3.2,1.14
642,Justin Speier\speieju01,33,LAA,AL,2,3,.400,2.88,51,0,9,0,0,0,50.0,36,17,16,6,12,1,47,4,0,2,198,158,3.88,0.960,6.5,1.1,2.2,8.5,3.92
643,Ryan Speier\speiery01,27,COL,NL,3,1,.750,4.00,20,0,5,0,0,0,18.0,20,8,8,1,8,1,13,1,1,2,77,122,4.02,1.556,10.0,0.5,4.0,6.5,1.63
644,Levale Speigner\speigle01,26,WSN,NL,2,3,.400,8.78,19,6,3,0,0,0,40.0,58,39,39,4,23,2,19,0,0,1,198,48,5.32,2.025,13.1,0.9,5.2,4.3,0.83
645,Scott Spiezio\spiezsc01,34,STL,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.24,1.000,0.0,0.0,9.0,0.0,0.00
646,Russ Springer\sprinru01,38,STL,NL,8,1,.889,2.18,76,0,18,0,0,0,66.0,41,18,16,3,19,1,66,3,0,1,257,202,2.83,0.909,5.6,0.4,2.6,9.0,3.47
647,Chris Spurling\spurlch01,30,MIL,NL,2,1,.667,4.68,49,0,21,0,0,0,50.0,63,31,26,6,14,3,28,2,0,4,225,95,4.64,1.540,11.3,1.1,2.5,5.0,2.00
648,Jason Standridge\standja01,28,KCR,AL,0,1,.000,8.22,4,0,2,0,0,0,7.2,11,10,7,2,5,2,6,0,0,0,41,58,7.02,2.087,12.9,2.3,5.9,7.0,1.20
649,Jason Stanford*\stanfja01,30,CLE,AL,1,1,.500,4.78,8,2,2,0,0,0,26.1,32,15,14,1,7,0,16,2,0,0,118,96,3.54,1.481,10.9,0.3,2.4,5.5,2.29
650,Mike Stanton*\stantmi02,40,CIN,NL,1,3,.250,5.93,69,0,11,0,0,0,57.2,75,39,38,6,18,2,40,5,0,1,263,78,4.40,1.613,11.7,0.9,2.8,6.2,2.22
651,Tim Stauffer\staufti01,25,SDP,NL,0,1,.000,21.13,2,2,0,0,0,0,7.2,15,18,18,5,6,0,6,1,0,0,45,20,12.89,2.739,17.6,5.9,7.0,7.0,1.00
652,Mitch Stetter*\stettmi01,26,MIL,NL,1,0,1.000,3.60,6,0,2,0,0,0,5.0,2,2,2,0,2,0,4,2,0,3,20,132,4.04,0.800,3.6,0.0,3.6,7.2,2.00
653,Brian Stokes\stokebr01,27,TBD,AL,2,7,.222,7.07,59,0,22,0,0,0,62.1,90,49,49,11,25,1,35,3,0,1,294,64,5.76,1.845,13.0,1.6,3.6,5.1,1.40
654,Ricky Stone\stoneri01,32,CIN,NL,0,0,,10.13,5,0,3,0,0,0,5.1,7,6,6,4,0,0,3,1,0,0,23,48,12.43,1.313,11.8,6.8,0.0,5.1,
655,Huston Street\streehu01,23,OAK,AL,5,2,.714,2.88,48,0,35,0,0,16,50.0,35,20,16,5,12,3,63,0,0,0,199,148,2.74,0.940,6.3,0.9,2.2,11.3,5.25
656,Eric Stults*\stulter01,27,LAD,NL,1,4,.200,5.82,12,5,0,0,0,0,38.2,50,26,25,5,17,2,30,1,0,2,179,77,4.77,1.733,11.6,1.2,4.0,7.0,1.76
657,Jeff Suppan\suppaje01,32,MIL,NL,12,12,.500,4.62,34,34,0,1,0,0,206.2,243,113,106,18,68,10,114,11,0,7,919,96,4.42,1.505,10.6,0.8,3.0,5.0,1.68
658,Jon Switzer*\switzjo01,27,TBD,AL,0,2,.000,8.05,21,0,2,0,0,0,19.0,27,17,17,2,7,1,13,0,0,1,88,57,4.35,1.789,12.8,0.9,3.3,6.2,1.86
659,Brian Tallet*\tallebr01,29,TOR,AL,2,4,.333,3.47,48,0,11,0,0,0,62.1,49,26,24,1,28,7,54,6,0,1,267,130,3.35,1.235,7.1,0.1,4.0,7.8,1.93
660,Taylor Tankersley*\tanketa01,24,FLA,NL,6,1,.857,3.99,67,0,12,0,0,1,47.1,42,22,21,4,29,3,49,3,0,2,205,110,4.30,1.500,8.0,0.8,5.5,9.3,1.69
661,Jack Taschner*\taschja01,29,SFG,NL,3,1,.750,5.40,63,0,16,0,0,0,50.0,44,31,30,4,29,2,51,1,0,2,222,84,4.04,1.460,7.9,0.7,5.2,9.2,1.76
662,Jordan Tata\tatajo01,25,DET,AL,1,1,.500,7.71,3,3,0,0,0,0,14.0,16,12,12,1,8,1,8,2,0,0,64,61,5.17,1.714,10.3,0.6,5.1,5.1,1.00
663,Ty Taubenheim\taubety01,24,TOR,AL,0,0,,9.00,1,1,0,0,0,0,5.0,5,5,5,1,4,0,4,1,0,1,24,53,7.24,1.800,9.0,1.8,7.2,7.2,1.00
664,Julian Tavarez\tavarju01,34,BOS,AL,7,11,.389,5.15,34,23,2,0,0,0,134.2,151,89,77,14,51,4,77,7,0,4,604,92,4.74,1.500,10.1,0.9,3.4,5.1,1.51
665,Rob Tejeda\tejedro01,25,TEX,AL,5,9,.357,6.61,19,19,0,0,0,0,95.1,110,78,70,17,60,2,69,6,0,10,454,69,6.19,1.783,10.4,1.6,5.7,6.5,1.15
666,Joe Thatcher*\thatcjo01,25,SDP,NL,2,2,.500,1.29,22,0,5,0,0,0,21.0,13,6,3,1,6,2,16,1,0,0,85,316,3.34,0.905,5.6,0.4,2.6,6.9,2.67
667,Brad Thompson\thompbr01,25,STL,NL,8,6,.571,4.73,44,17,10,0,0,0,129.1,157,76,68,23,40,2,53,13,0,4,580,93,5.96,1.523,10.9,1.6,2.8,3.7,1.33
668,Mike Thompson\thompmi03,26,SDP,NL,0,1,.000,6.89,7,0,4,0,0,0,15.2,19,15,12,2,7,2,5,3,0,0,75,59,6.18,1.660,10.9,1.1,4.0,2.9,0.71
669,Rich Thompson\thompri03,22,LAA,AL,0,0,,10.80,7,0,2,0,0,0,6.2,10,8,8,4,3,0,9,0,0,2,32,44,9.69,1.950,13.5,5.4,4.1,12.2,3.00
